arquivo,ano,uf,n_registros,n_colunas,hash_md5,tamanho_bytes,data_processamento
CPNIMG01.DBF,2001,MG,12795,9,b328016f50f0ee796a568c5d8e351610,563303,2026-02-27 17:32:16.865732
CPNIMS01.DBF,2001,MS,1155,9,60c0b1428fcd52ee5e9b4c3350a62f8f,51143,2026-02-27 17:32:20.301009
CPNIMT01.DBF,2001,MT,2085,9,03df515319128d98814374fc99fb7611,92063,2026-02-27 17:32:23.429706
CPNIPA01.DBF,2001,PA,2145,9,ddc870de46fb28a08efacc0a171722cf,94703,2026-02-27 17:32:26.479739
CPNIPB01.DBF,2001,PB,3345,9,f8e7baeb285d1674acd803c45efda82b,147503,2026-02-27 17:32:30.116991
CPNIPE01.DBF,2001,PE,2775,9,a59f4ba9c074b31b557e84be5fcb8d47,122423,2026-02-27 17:32:33.273231
CPNIPI01.DBF,2001,PI,3330,9,8ffba8295c186fe08ff9241dd9d44293,146843,2026-02-27 17:32:36.418525
CPNIPR01.DBF,2001,PR,5985,9,052d16f21a2fff7f485f044f9f88042d,263663,2026-02-27 17:32:40.249682
CPNIRJ01.DBF,2001,RJ,1380,9,3021b6d1f0421790bd3e808389c40b9e,61043,2026-02-27 17:32:43.194984
CPNIRN01.DBF,2001,RN,2505,9,8bff198ff77ab5c2ece6641eb0f307aa,110543,2026-02-27 17:32:46.631317
CPNIRO01.DBF,2001,RO,780,9,d5ec603f0bf71a9a5902be920b31e24d,34643,2026-02-27 17:32:49.3588
CPNIRR01.DBF,2001,RR,225,9,5f21f65e725485ca1887e56117d3f8b6,10223,2026-02-27 17:32:52.027328
CPNIRS01.DBF,2001,RS,7455,9,0ee135d22295bdf03c381bc12c105f8e,328343,2026-02-27 17:32:55.721054
CPNISC01.DBF,2001,SC,4395,9,01aee6d939dde4417888c9893ee5f971,193703,2026-02-27 17:32:59.091367
CPNISE01.DBF,2001,SE,1125,9,cd6b1a71f96a91dd3092c46e405d41a5,49823,2026-02-27 17:33:01.922376
CPNISP01.DBF,2001,SP,9675,9,f8a77028e0747f8bb285cef5a31558da,426023,2026-02-27 17:33:05.65649
CPNITO01.DBF,2001,TO,2085,9,591a86ed8fac310247345466ff833213,92063,2026-02-27 17:33:08.673038
CPNIAC02.DBF,2002,AC,330,9,83d549e1e4406436c882bfc385fa85be,14843,2026-02-27 17:33:12.938845
CPNIAL02.DBF,2002,AL,1530,9,0090d4faf44bf81d462b1a97dbcfc3b5,67643,2026-02-27 17:33:16.328749
CPNIAM02.DBF,2002,AM,930,9,0bd3fe67e35c33d8b2b75281429f4f13,41243,2026-02-27 17:33:19.242209
CPNIAP02.DBF,2002,AP,240,9,bbd435c9960f3841e15c946d781f838c,10883,2026-02-27 17:33:21.792889
CPNIBA02.DBF,2002,BA,6255,9,f5c5562a57a20b5086db6269e804205e,275543,2026-02-27 17:33:25.312607
CPNICE02.DBF,2002,CE,2760,9,14f0814a55ef79086e107fd8e80e45bd,121763,2026-02-27 17:33:28.50478
CPNIDF02.DBF,2002,DF,15,9,19bfb23c489c2ffe684733558c1448fa,983,2026-02-27 17:33:30.979439
CPNIES02.DBF,2002,ES,1170,9,598effaa808dc5f8328e57a2daabf676,51803,2026-02-27 17:33:33.908843
CPNIGO02.DBF,2002,GO,3690,9,9022cdcebef4a7e61d3451428615dcfb,162683,2026-02-27 17:33:37.092953
CPNIMA02.DBF,2002,MA,3255,9,e0c97cc1f52ed2209cbe004227cd4279,143543,2026-02-27 17:33:40.273468
CPNIMG02.DBF,2002,MG,12795,9,e60da7391d332e9b849d8d35801ccc7f,563303,2026-02-27 17:33:44.519464
CPNIMS02.DBF,2002,MS,1155,9,7cc741d16d4897b89e713d6aeaa29abb,51143,2026-02-27 17:33:47.441013
CPNIMT02.DBF,2002,MT,2085,9,84aa2f0edf6a5df8c45bf29fa11f8281,92063,2026-02-27 17:33:51.01707
CPNIPA02.DBF,2002,PA,2145,9,01550ef58adbc15a32272f6ab7985b0a,94703,2026-02-27 17:33:54.068423
CPNIPB02.DBF,2002,PB,3345,9,14173013d9321ec5102ef65c409721dc,147503,2026-02-27 17:33:57.41415
CPNIPE02.DBF,2002,PE,2775,9,6cc99eae0c1745ceefbf5261747d322e,122423,2026-02-27 17:34:00.617945
CPNIPI02.DBF,2002,PI,3330,9,f0d4a423d022f88dec445ccd2c7a3616,146843,2026-02-27 17:34:04.302232
CPNIPR02.DBF,2002,PR,5985,9,0f69e2377fa0c49c97ed70331338b33a,263663,2026-02-27 17:34:07.904567
CPNIRJ02.DBF,2002,RJ,1380,9,b8c03c159d1a4ef8e86a1115b49386ff,61043,2026-02-27 17:34:10.89414
CPNIRN02.DBF,2002,RN,2505,9,e6b20abef13e27e0237e4830cac7c80a,110543,2026-02-27 17:34:14.291397
CPNIRO02.DBF,2002,RO,780,9,637b26a5ef25235f765801395863a017,34643,2026-02-27 17:34:17.10555
CPNIRR02.DBF,2002,RR,225,9,0a1f075fc3d22797cbf1b86f758d5eff,10223,2026-02-27 17:34:20.100364
CPNIRS02.DBF,2002,RS,7455,9,f1f9d6d21b7ff3e14e72bbf94318ebed,328343,2026-02-27 17:34:23.698114
CPNISC02.DBF,2002,SC,4395,9,4aec540c3b396b0cc5ae68a620ccb4ec,193703,2026-02-27 17:34:27.336574
CPNISE02.DBF,2002,SE,1125,9,a49d6e9ae42f62e5128d1ae5b574730c,49823,2026-02-27 17:34:30.248656
CPNISP02.DBF,2002,SP,9675,9,969a952d22b9b3c07c76cd4e47fdd4f1,426023,2026-02-27 17:34:33.941927
CPNITO02.DBF,2002,TO,2085,9,d0badd92c8af3db30f65381233a8f1f5,92063,2026-02-27 17:34:37.066146
CPNIAC03.DBF,2003,AC,330,9,250158d686a6ce9ff2222e10200fc77a,14843,2026-02-27 17:34:41.584589
CPNIAL03.DBF,2003,AL,1530,9,f060fb971fe12988590ba685953485d9,67643,2026-02-27 17:34:44.56131
CPNIAM03.DBF,2003,AM,930,9,a8fad44724781e2a6e0f823169c7b66f,41243,2026-02-27 17:34:47.424367
CPNIAP03.DBF,2003,AP,240,9,526a1686786377a05c5a395af8162be9,10883,2026-02-27 17:34:50.047918
CPNIBA03.DBF,2003,BA,6255,9,0899f933b009050a87b1e71ddf741670,275543,2026-02-27 17:34:53.559594
CPNICE03.DBF,2003,CE,2760,9,297741e00d27c376897d36a62cc1a8a9,121763,2026-02-27 17:34:56.672493
CPNIDF03.DBF,2003,DF,15,9,3a2165eace3c11ce34fd1779e3e3ad60,983,2026-02-27 17:34:59.191689
CPNIES03.DBF,2003,ES,1170,9,49bae9e2407cb1562721e843f9ff388e,51803,2026-02-27 17:35:02.084784
CPNIGO03.DBF,2003,GO,3690,9,d9edfa6d92e8029fe64aade40e6e6d15,162683,2026-02-27 17:35:05.784912
CPNIMA03.DBF,2003,MA,3255,9,ae819f7b0cbe8bf9315139bddf1ba770,143543,2026-02-27 17:35:09.187474
